mal_id,url,trailer,title,title_japanese,type,source,episodes,status,aired,duration,rating,score,members,favorites,season,year,genres
27833,https://myanimelist.net/anime/27833/Durararax2_Ketsu,https://www.youtube-nocookie.com/embed/S6WCHOxTfBM?enablejsapi=1&wmode=opaque&autoplay=1,Durarara!!x2 Ketsu,デュラララ!!×2 結,TV,Light novel,12,Finished Airing,"Jan 9, 2016 to Mar 26, 2016",24 min per ep,R - 17+ (violence & profanity),8.05,397679,1090,winter,2016,"Action, Mystery, Supernatural, "
31173,https://myanimelist.net/anime/31173/Akagami_no_Shirayuki-hime_2nd_Season,https://www.youtube-nocookie.com/embed/yP9kzpaQF20?enablejsapi=1&wmode=opaque&autoplay=1,Akagami no Shirayuki-hime 2nd Season,赤髪の白雪姫,TV,Manga,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016",24 min per ep,PG-13 - Teens 13 or older,7.97,383435,1787,winter,2016,"Drama, Romance, "
31163,https://myanimelist.net/anime/31163/Dimension_W,https://www.youtube-nocookie.com/embed/Mgq7hcFxkXM?enablejsapi=1&wmode=opaque&autoplay=1,Dimension W,Dimension W,TV,Manga,12,Finished Airing,"Jan 10, 2016 to Mar 27, 2016",24 min per ep,R - 17+ (violence & profanity),7.17,309591,839,winter,2016,"Action, Sci-Fi, "
28735,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu,https://www.youtube-nocookie.com/embed/79-t5S8-3Xg?enablejsapi=1&wmode=opaque&autoplay=1,Shouwa Genroku Rakugo Shinjuu,昭和元禄落語心中,TV,Manga,13,Finished Airing,"Jan 9, 2016 to Apr 2, 2016",26 min per ep,PG-13 - Teens 13 or older,8.55,308766,5936,winter,2016,"Drama, "
30346,https://myanimelist.net/anime/30346/Doukyuusei,https://www.youtube-nocookie.com/embed/9VZdzlavJyw?enablejsapi=1&wmode=opaque&autoplay=1,Doukyuusei,同級生,Movie,Manga,1,Finished Airing,"Feb 20, 2016",1 hr,PG-13 - Teens 13 or older,8.27,289875,6485,,,"Boys Love, "
32268,https://myanimelist.net/anime/32268/Koyomimonogatari,,Koyomimonogatari,暦物語,ONA,Light novel,12,Finished Airing,"Jan 10, 2016 to Mar 27, 2016",12 min per ep,R - 17+ (violence & profanity),7.61,265812,368,,,"Comedy, Mystery, Supernatural, "
31414,https://myanimelist.net/anime/31414/Nijiiro_Days,https://www.youtube-nocookie.com/embed/nWkFNSt9ZyY?enablejsapi=1&wmode=opaque&autoplay=1,Nijiiro Days,虹色デイズ,TV,Manga,24,Finished Airing,"Jan 10, 2016 to Jun 26, 2016",13 min per ep,PG-13 - Teens 13 or older,7.26,243739,736,winter,2016,"Comedy, Romance, "
31553,https://myanimelist.net/anime/31553/Charlotte__Tsuyoimono-tachi,,Charlotte: Tsuyoimono-tachi,Charlotte（シャーロット）特別篇 強い者たち,Special,Original,1,Finished Airing,"Mar 30, 2016",24 min,PG-13 - Teens 13 or older,7.5,204246,343,,,"Drama, "
32013,https://myanimelist.net/anime/32013/Oshiete_Galko-chan,https://www.youtube-nocookie.com/embed/3yd4-qFngmM?enablejsapi=1&wmode=opaque&autoplay=1,Oshiete! Galko-chan,おしえて! ギャル子ちゃん,TV,Web manga,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",7 min per ep,PG-13 - Teens 13 or older,7,187461,529,winter,2016,"Comedy, "
31559,https://myanimelist.net/anime/31559/Prince_of_Stride__Alternative,https://www.youtube-nocookie.com/embed/HqZIIe7tLNA?enablejsapi=1&wmode=opaque&autoplay=1,Prince of Stride: Alternative,プリンス・オブ・ストライド　オルタナティブ,TV,Mixed media,12,Finished Airing,"Jan 5, 2016 to Mar 22, 2016",24 min per ep,PG-13 - Teens 13 or older,6.9,180955,644,winter,2016,"Sports, "
31710,https://myanimelist.net/anime/31710/Divine_Gate,https://www.youtube-nocookie.com/embed/u7gqmRyl7d0?enablejsapi=1&wmode=opaque&autoplay=1,Divine Gate,ディバインゲート,TV,Game,12,Finished Airing,"Jan 8, 2016 to Mar 25, 2016",23 min per ep,PG-13 - Teens 13 or older,5.52,173722,214,winter,2016,"Action, Fantasy, Sci-Fi, "
32485,https://myanimelist.net/anime/32485/Prison_School__Mad_Wax,https://www.youtube-nocookie.com/embed/V979_JMNYIg?enablejsapi=1&wmode=opaque&autoplay=1,Prison School: Mad Wax,監獄学園[プリズンスクール] マッドワックス,OVA,Manga,1,Finished Airing,"Mar 4, 2016",25 min,R+ - Mild Nudity,7.35,166727,134,,,"Comedy, Ecchi, "
28391,https://myanimelist.net/anime/28391/Ao_no_Kanata_no_Four_Rhythm,https://www.youtube-nocookie.com/embed/WOy3WbcbNtQ?enablejsapi=1&wmode=opaque&autoplay=1,Ao no Kanata no Four Rhythm,蒼の彼方のフォーリズム,TV,Visual novel,12,Finished Airing,"Jan 12, 2016 to Mar 29, 2016",24 min per ep,PG-13 - Teens 13 or older,6.63,154616,530,winter,2016,"Sci-Fi, Sports, "
32491,https://myanimelist.net/anime/32491/Kanojo_to_Kanojo_no_Neko__Everything_Flows,https://www.youtube-nocookie.com/embed/6Y3OtzPl50M?enablejsapi=1&wmode=opaque&autoplay=1,Kanojo to Kanojo no Neko: Everything Flows,彼女と彼女の猫 -Everything Flows-,TV,Original,4,Finished Airing,"Mar 4, 2016 to Mar 25, 2016",7 min per ep,G - All Ages,7.66,143887,719,winter,2016,"Slice of Life, "
31914,https://myanimelist.net/anime/31914/Shoujo-tachi_wa_Kouya_wo_Mezasu,https://www.youtube-nocookie.com/embed/rblaPG33Hnk?enablejsapi=1&wmode=opaque&autoplay=1,Shoujo-tachi wa Kouya wo Mezasu,少女たちは荒野を目指す,TV,Visual novel,12,Finished Airing,"Jan 7, 2016 to Mar 24, 2016",24 min per ep,PG-13 - Teens 13 or older,6.3,126687,175,winter,2016,
